AreaName,amount,lat,lon
77th Street,75027,33.9628,-118.2959
Central,59800,34.0387,-118.2488
Devonshire,49858,34.2428,-118.5361
Foothill,39837,34.2158,-118.3965
Harbor,46687,33.7424,-118.2901
Hollenbeck,43637,34.0486,-118.2192
Hollywood,54393,34.1016,-118.3295
Mission,52210,34.2216,-118.4488
N Hollywood,59752,34.1687,-118.3834
Newton,54145,33.9825,-118.2695
Northeast,51296,34.0917,-118.2741
Olympic,53068,34.0705,-118.2857
Pacific,60177,33.9599,-118.3962
Rampart,47497,34.0632,-118.2513
Southeast,58420,33.9247,-118.2652
Southwest,70576,34.0109,-118.3051
Topanga,52162,34.2197,-118.6031
Van Nuys,51984,34.164,-118.4662
West LA,47620,34.0314,-118.397
West Valley,46422,34.1775,-118.5088
Wilshire,48531,34.0802,-118.3574
